DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2014.11.26;19:15:00;1,25067;1,25082;1,25021;1,25068;-1,00000
2014.11.26;20:00:00;1,25068;1,25071;1,25023;1,25044;-1,00000
2014.11.26;21:00:00;1,25044;1,25110;1,24989;1,24991;-1,00000
2014.11.26;22:00:00;1,24991;1,25019;1,24955;1,24961;-1,00000
2014.11.26;23:00:00;1,24961;1,25052;1,24961;1,25052;-1,00000
2014.11.27;00:00:00;1,25052;1,25113;1,25023;1,25083;-1,00000
2014.11.27;01:00:00;1,25083;1,25118;1,25057;1,25098;-1,00000
2014.11.27;02:00:00;1,25098;1,25098;1,25032;1,25051;-1,00000
2014.11.27;03:00:00;1,25051;1,25129;1,25039;1,25068;-1,00000
2014.11.27;04:00:00;1,25068;1,25237;1,25064;1,25132;-1,00000
2014.11.27;05:00:00;1,25132;1,25132;1,24768;1,24864;-1,00000
2014.11.27;06:00:00;1,24864;1,24892;1,24653;1,24659;-1,00000
2014.11.27;07:00:00;1,24659;1,24755;1,24659;1,24733;-1,00000
2014.11.27;08:00:00;1,24733;1,24860;1,24707;1,24813;-1,00000
2014.11.27;09:00:00;1,24813;1,24893;1,24812;1,24883;-1,00000
2014.11.27;10:00:00;1,24883;1,24939;1,24744;1,24833;-1,00000
2014.11.27;11:00:00;1,24833;1,24978;1,24820;1,24868;-1,00000
2014.11.27;12:00:00;1,24868;1,24988;1,24796;1,24811;-1,00000
2014.11.27;13:00:00;1,24811;1,24863;1,24719;1,24758;-1,00000
2014.11.27;14:00:00;1,24758;1,24783;1,24707;1,24718;-1,00000
2014.11.27;15:00:00;1,24718;1,24743;1,24648;1,24707;-1,00000
2014.11.27;16:00:00;1,24707;1,24716;1,24686;1,24711;-1,00000
2014.11.27;17:00:00;1,24711;1,24713;1,24655;1,24670;-1,00000
2014.11.27;18:00:00;1,24670;1,24677;1,24655;1,24673;-1,00000
2014.11.27;19:15:00;1,24680;1,24680;1,24562;1,24591;-1,00000
2014.11.27;20:00:00;1,24591;1,24640;1,24585;1,24599;-1,00000
2014.11.27;21:00:00;1,24599;1,24604;1,24483;1,24511;-1,00000
2014.11.27;22:00:00;1,24511;1,24640;1,24491;1,24614;-1,00000
2014.11.27;23:00:00;1,24614;1,24650;1,24535;1,24536;-1,00000
2014.11.28;00:00:00;1,24536;1,24585;1,24457;1,24478;-1,00000
2014.11.28;01:00:00;1,24478;1,24497;1,24451;1,24468;-1,00000
2014.11.28;02:00:00;1,24468;1,24505;1,24462;1,24489;-1,00000
2014.11.28;03:00:00;1,24489;1,24552;1,24462;1,24549;-1,00000
2014.11.28;04:00:00;1,24549;1,24637;1,24362;1,24392;-1,00000
2014.11.28;05:00:00;1,24392;1,24405;1,24293;1,24399;-1,00000
2014.11.28;06:00:00;1,24399;1,24518;1,24333;1,24363;-1,00000
2014.11.28;07:00:00;1,24363;1,24623;1,24363;1,24485;-1,00000
2014.11.28;08:00:00;1,24485;1,24797;1,24481;1,24739;-1,00000
2014.11.28;09:00:00;1,24739;1,24905;1,24734;1,24825;-1,00000
2014.11.28;10:00:00;1,24825;1,24896;1,24770;1,24833;-1,00000
2014.11.28;11:00:00;1,24833;1,24884;1,24621;1,24663;-1,00000
2014.11.28;12:00:00;1,24663;1,24741;1,24575;1,24656;-1,00000
2014.11.28;13:00:00;1,24656;1,24668;1,24332;1,24377;-1,00000
2014.11.28;14:00:00;1,24377;1,24399;1,24265;1,24347;-1,00000
2014.11.28;15:00:00;1,24347;1,24439;1,24337;1,24416;-1,00000
2014.11.28;16:00:00;1,24416;1,24456;1,24408;1,24431;-1,00000
2014.11.28;17:00:00;1,24431;1,24477;1,24395;1,24400;-1,00000
2014.11.28;18:00:00;1,24400;1,24538;1,24400;1,24515;-1,00000
2014.11.30;19:15:00;1,24510;1,24525;1,24451;1,24470;-1,00000
2014.11.30;20:00:00;1,24470;1,24480;1,24318;1,24368;-1,00000
2014.11.30;21:00:00;1,24368;1,24398;1,24274;1,24352;-1,00000
2014.11.30;22:00:00;1,24352;1,24465;1,24330;1,24433;-1,00000
2014.11.30;23:00:00;1,24433;1,24484;1,24390;1,24470;-1,00000
2014.12.01;00:00:00;1,24470;1,24522;1,24451;1,24516;-1,00000
2014.12.01;01:00:00;1,24516;1,24552;1,24516;1,24543;-1,00000
2014.12.01;02:00:00;1,24543;1,24570;1,24481;1,24483;-1,00000
2014.12.01;03:00:00;1,24483;1,24532;1,24468;1,24501;-1,00000
2014.12.01;04:00:00;1,24501;1,24517;1,24193;1,24224;-1,00000
2014.12.01;05:00:00;1,24224;1,24746;1,24195;1,24421;-1,00000
2014.12.01;06:00:00;1,24421;1,24693;1,24399;1,24650;-1,00000
2014.12.01;07:00:00;1,24650;1,24779;1,24617;1,24649;-1,00000
2014.12.01;08:00:00;1,24649;1,24785;1,24587;1,24598;-1,00000
2014.12.01;09:00:00;1,24598;1,24698;1,24551;1,24677;-1,00000
2014.12.01;10:00:00;1,24677;1,24868;1,24653;1,24811;-1,00000
2014.12.01;11:00:00;1,24811;1,25067;1,24757;1,25003;-1,00000
2014.12.01;12:00:00;1,25003;1,25057;1,24721;1,24762;-1,00000
2014.12.01;13:00:00;1,24762;1,24896;1,24692;1,24895;-1,00000
2014.12.01;14:00:00;1,24895;1,25031;1,24861;1,24944;-1,00000
2014.12.01;15:00:00;1,24944;1,25018;1,24802;1,24802;-1,00000
2014.12.01;16:00:00;1,24802;1,24810;1,24709;1,24779;-1,00000
