DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2013.12.29;19:15:00;1,37643;1,37702;1,37588;1,37637;-1,00000
2013.12.29;20:00:00;1,37637;1,37637;1,37464;1,37514;-1,00000
2013.12.29;21:00:00;1,37514;1,37634;1,37421;1,37546;-1,00000
2013.12.29;22:00:00;1,37546;1,37552;1,37337;1,37443;-1,00000
2013.12.29;23:00:00;1,37443;1,37514;1,37440;1,37483;-1,00000
2013.12.30;00:00:00;1,37483;1,37517;1,37382;1,37446;-1,00000
2013.12.30;01:00:00;1,37446;1,37449;1,37372;1,37416;-1,00000
2013.12.30;02:00:00;1,37416;1,37416;1,37284;1,37394;-1,00000
2013.12.30;03:00:00;1,37394;1,37417;1,37359;1,37389;-1,00000
2013.12.30;04:00:00;1,37389;1,37601;1,37358;1,37584;-1,00000
2013.12.30;05:00:00;1,37584;1,37587;1,37382;1,37488;-1,00000
2013.12.30;06:00:00;1,37488;1,37576;1,37376;1,37526;-1,00000
2013.12.30;07:00:00;1,37526;1,37677;1,37504;1,37638;-1,00000
2013.12.30;08:00:00;1,37638;1,37755;1,37566;1,37624;-1,00000
2013.12.30;09:00:00;1,37624;1,37791;1,37624;1,37709;-1,00000
2013.12.30;10:00:00;1,37709;1,38000;1,37695;1,37880;-1,00000
2013.12.30;11:00:00;1,37880;1,38003;1,37824;1,37926;-1,00000
2013.12.30;12:00:00;1,37926;1,38156;1,37926;1,38136;-1,00000
2013.12.30;13:00:00;1,38136;1,38191;1,38081;1,38149;-1,00000
2013.12.30;14:00:00;1,38149;1,38172;1,38003;1,38005;-1,00000
2013.12.30;15:00:00;1,38005;1,38108;1,38001;1,38047;-1,00000
2013.12.30;16:00:00;1,38047;1,38055;1,37988;1,38015;-1,00000
2013.12.30;17:00:00;1,38015;1,38027;1,37964;1,37983;-1,00000
2013.12.30;18:00:00;1,37983;1,38044;1,37958;1,38028;-1,00000
2013.12.30;19:15:00;1,37979;1,38000;1,37923;1,37951;-1,00000
2013.12.30;20:00:00;1,37951;1,38089;1,37950;1,38084;-1,00000
2013.12.30;21:00:00;1,38084;1,38127;1,38007;1,38118;-1,00000
2013.12.30;22:00:00;1,38118;1,38119;1,38053;1,38062;-1,00000
2013.12.30;23:00:00;1,38062;1,38071;1,37927;1,37927;-1,00000
2013.12.31;00:00:00;1,37927;1,37986;1,37923;1,37932;-1,00000
2013.12.31;01:00:00;1,37932;1,38000;1,37915;1,37993;-1,00000
2013.12.31;02:00:00;1,37993;1,37994;1,37901;1,37935;-1,00000
2013.12.31;03:00:00;1,37935;1,37942;1,37861;1,37884;-1,00000
2013.12.31;04:00:00;1,37884;1,37975;1,37843;1,37848;-1,00000
2013.12.31;05:00:00;1,37848;1,37866;1,37687;1,37691;-1,00000
2013.12.31;06:00:00;1,37691;1,37771;1,37600;1,37684;-1,00000
2013.12.31;07:00:00;1,37684;1,37806;1,37633;1,37638;-1,00000
2013.12.31;08:00:00;1,37638;1,37692;1,37599;1,37668;-1,00000
2013.12.31;09:00:00;1,37668;1,37802;1,37664;1,37725;-1,00000
2013.12.31;10:00:00;1,37725;1,37947;1,37680;1,37787;-1,00000
2013.12.31;11:00:00;1,37787;1,37814;1,37661;1,37771;-1,00000
2013.12.31;12:00:00;1,37771;1,37914;1,37637;1,37797;-1,00000
2013.12.31;13:00:00;1,37797;1,37808;1,37645;1,37787;-1,00000
2013.12.31;14:00:00;1,37787;1,37929;1,37660;1,37885;-1,00000
2013.12.31;15:00:00;1,37885;1,37885;1,37764;1,37782;-1,00000
2013.12.31;16:00:00;1,37782;1,37850;1,37444;1,37458;-1,00000
2014.01.01;21:00:00;1,37646;1,37697;1,37586;1,37593;-1,00000
2014.01.01;22:00:00;1,37593;1,37657;1,37509;1,37636;-1,00000
2014.01.01;23:00:00;1,37636;1,37680;1,37606;1,37662;-1,00000
2014.01.02;00:00:00;1,37662;1,37760;1,37635;1,37662;-1,00000
2014.01.02;01:00:00;1,37662;1,37663;1,37446;1,37459;-1,00000
2014.01.02;02:00:00;1,37459;1,37589;1,37447;1,37576;-1,00000
2014.01.02;03:00:00;1,37576;1,37584;1,37469;1,37508;-1,00000
2014.01.02;04:00:00;1,37508;1,37538;1,37258;1,37317;-1,00000
2014.01.02;05:00:00;1,37317;1,37416;1,37162;1,37276;-1,00000
2014.01.02;06:00:00;1,37276;1,37424;1,37227;1,37296;-1,00000
2014.01.02;07:00:00;1,37296;1,37327;1,37203;1,37243;-1,00000
2014.01.02;08:00:00;1,37243;1,37246;1,36841;1,36894;-1,00000
2014.01.02;09:00:00;1,36894;1,36894;1,36373;1,36482;-1,00000
2014.01.02;10:00:00;1,36482;1,36620;1,36356;1,36516;-1,00000
2014.01.02;11:00:00;1,36516;1,36577;1,36434;1,36471;-1,00000
2014.01.02;12:00:00;1,36471;1,36601;1,36297;1,36578;-1,00000
2014.01.02;13:00:00;1,36578;1,36768;1,36549;1,36698;-1,00000
2014.01.02;14:00:00;1,36698;1,36759;1,36628;1,36745;-1,00000
2014.01.02;15:00:00;1,36745;1,36763;1,36672;1,36675;-1,00000
2014.01.02;16:00:00;1,36675;1,36695;1,36510;1,36522;-1,00000
2014.01.02;17:00:00;1,36522;1,36641;1,36510;1,36635;-1,00000
2014.01.02;18:00:00;1,36635;1,36719;1,36617;1,36718;-1,00000
2014.01.02;19:15:00;1,36671;1,36695;1,36599;1,36646;-1,00000
2014.01.02;20:00:00;1,36646;1,36684;1,36623;1,36655;-1,00000
2014.01.02;21:00:00;1,36655;1,36721;1,36612;1,36615;-1,00000
2014.01.02;22:00:00;1,36615;1,36655;1,36538;1,36549;-1,00000
2014.01.02;23:00:00;1,36549;1,36642;1,36492;1,36551;-1,00000
2014.01.03;00:00:00;1,36551;1,36658;1,36547;1,36582;-1,00000
2014.01.03;01:00:00;1,36582;1,36662;1,36578;1,36633;-1,00000
2014.01.03;02:00:00;1,36633;1,36653;1,36446;1,36481;-1,00000
2014.01.03;03:00:00;1,36481;1,36540;1,36470;1,36519;-1,00000
2014.01.03;04:00:00;1,36519;1,36619;1,36452;1,36509;-1,00000
2014.01.03;05:00:00;1,36509;1,36565;1,36328;1,36392;-1,00000
2014.01.03;06:00:00;1,36392;1,36513;1,36286;1,36466;-1,00000
2014.01.03;07:00:00;1,36466;1,36547;1,36436;1,36461;-1,00000
2014.01.03;08:00:00;1,36461;1,36511;1,36392;1,36394;-1,00000
2014.01.03;09:00:00;1,36394;1,36588;1,36362;1,36425;-1,00000
2014.01.03;10:00:00;1,36425;1,36476;1,36221;1,36378;-1,00000
2014.01.03;11:00:00;1,36378;1,36389;1,36048;1,36097;-1,00000
2014.01.03;12:00:00;1,36097;1,36149;1,35993;1,36127;-1,00000
2014.01.03;13:00:00;1,36127;1,36178;1,36038;1,36049;-1,00000
2014.01.03;14:00:00;1,36049;1,36071;1,35932;1,36047;-1,00000
2014.01.03;15:00:00;1,36047;1,36052;1,35964;1,36029;-1,00000
2014.01.03;16:00:00;1,36029;1,36069;1,35947;1,35986;-1,00000
2014.01.03;17:00:00;1,35986;1,35999;1,35826;1,35826;-1,00000
2014.01.03;18:00:00;1,35826;1,35927;1,35826;1,35888;-1,00000
2014.01.05;19:15:00;1,35933;1,36693;1,35863;1,36003;-1,00000
2014.01.05;20:00:00;1,36003;1,36005;1,35891;1,35959;-1,00000
2014.01.05;21:00:00;1,35959;1,36014;1,35869;1,35985;-1,00000
2014.01.05;22:00:00;1,35985;1,35990;1,35798;1,35827;-1,00000
2014.01.05;23:00:00;1,35827;1,35883;1,35786;1,35856;-1,00000
2014.01.06;00:00:00;1,35856;1,35888;1,35806;1,35837;-1,00000
2014.01.06;01:00:00;1,35837;1,35849;1,35795;1,35828;-1,00000
2014.01.06;02:00:00;1,35828;1,35857;1,35760;1,35794;-1,00000
2014.01.06;03:00:00;1,35794;1,35891;1,35715;1,35858;-1,00000
2014.01.06;04:00:00;1,35858;1,35900;1,35749;1,35806;-1,00000
2014.01.06;05:00:00;1,35806;1,36066;1,35803;1,35956;-1,00000
2014.01.06;06:00:00;1,35956;1,36146;1,35950;1,36116;-1,00000
2014.01.06;07:00:00;1,36116;1,36215;1,36039;1,36171;-1,00000
2014.01.06;08:00:00;1,36171;1,36223;1,36017;1,36054;-1,00000
2014.01.06;09:00:00;1,36054;1,36094;1,35979;1,36021;-1,00000
2014.01.06;10:00:00;1,36021;1,36069;1,35957;1,35990;-1,00000
2014.01.06;11:00:00;1,35990;1,36186;1,35932;1,36145;-1,00000
2014.01.06;12:00:00;1,36145;1,36469;1,36145;1,36425;-1,00000
2014.01.06;13:00:00;1,36425;1,36514;1,36355;1,36356;-1,00000
2014.01.06;14:00:00;1,36356;1,36475;1,36333;1,36387;-1,00000
2014.01.06;15:00:00;1,36387;1,36533;1,36385;1,36443;-1,00000
2014.01.06;16:00:00;1,36443;1,36455;1,36298;1,36353;-1,00000
2014.01.06;17:00:00;1,36353;1,36367;1,36293;1,36360;-1,00000
2014.01.06;18:00:00;1,36360;1,36370;1,36269;1,36282;-1,00000
2014.01.06;19:15:00;1,37200;1,37200;1,36282;1,36339;-1,00000
2014.01.06;20:00:00;1,36339;1,36339;1,36263;1,36298;-1,00000
2014.01.06;21:00:00;1,36298;1,36338;1,36206;1,36237;-1,00000
2014.01.06;22:00:00;1,36237;1,36275;1,36214;1,36249;-1,00000
2014.01.06;23:00:00;1,36249;1,36321;1,36244;1,36276;-1,00000
2014.01.07;00:00:00;1,36276;1,36319;1,36231;1,36247;-1,00000
2014.01.07;01:00:00;1,36247;1,36278;1,36236;1,36245;-1,00000
2014.01.07;02:00:00;1,36245;1,36268;1,36206;1,36211;-1,00000
2014.01.07;03:00:00;1,36211;1,36243;1,36106;1,36195;-1,00000
2014.01.07;04:00:00;1,36195;1,36272;1,36168;1,36184;-1,00000
2014.01.07;05:00:00;1,36184;1,36290;1,36128;1,36276;-1,00000
2014.01.07;06:00:00;1,36276;1,36327;1,36165;1,36184;-1,00000
2014.01.07;07:00:00;1,36184;1,36465;1,36133;1,36416;-1,00000
2014.01.07;08:00:00;1,36416;1,36503;1,36346;1,36367;-1,00000
2014.01.07;09:00:00;1,36367;1,36565;1,36367;1,36429;-1,00000
2014.01.07;10:00:00;1,36429;1,36509;1,36247;1,36291;-1,00000
2014.01.07;11:00:00;1,36291;1,36358;1,36194;1,36219;-1,00000
2014.01.07;12:00:00;1,36219;1,36228;1,35966;1,36063;-1,00000
2014.01.07;13:00:00;1,36063;1,36218;1,36053;1,36170;-1,00000
2014.01.07;14:00:00;1,36170;1,36403;1,36165;1,36293;-1,00000
2014.01.07;15:00:00;1,36293;1,36316;1,36158;1,36175;-1,00000
2014.01.07;16:00:00;1,36175;1,36219;1,36133;1,36177;-1,00000
2014.01.07;17:00:00;1,36177;1,36183;1,36122;1,36137;-1,00000
2014.01.07;18:00:00;1,36137;1,36172;1,36128;1,36156;-1,00000
2014.01.07;19:15:00;1,36155;1,36183;1,36090;1,36141;-1,00000
2014.01.07;20:00:00;1,36141;1,36181;1,36140;1,36173;-1,00000
2014.01.07;21:00:00;1,36173;1,36173;1,36052;1,36077;-1,00000
2014.01.07;22:00:00;1,36077;1,36328;1,36060;1,36282;-1,00000
2014.01.07;23:00:00;1,36282;1,36301;1,36264;1,36284;-1,00000
2014.01.08;00:00:00;1,36284;1,36284;1,36201;1,36221;-1,00000
2014.01.08;01:00:00;1,36221;1,36327;1,36217;1,36321;-1,00000
2014.01.08;02:00:00;1,36321;1,36352;1,36263;1,36296;-1,00000
2014.01.08;03:00:00;1,36296;1,36335;1,36254;1,36285;-1,00000
2014.01.08;04:00:00;1,36285;1,36286;1,36169;1,36177;-1,00000
2014.01.08;05:00:00;1,36177;1,36177;1,35996;1,36075;-1,00000
2014.01.08;06:00:00;1,36075;1,36116;1,35981;1,36038;-1,00000
2014.01.08;07:00:00;1,36038;1,36086;1,35805;1,35837;-1,00000
2014.01.08;08:00:00;1,35837;1,35892;1,35801;1,35831;-1,00000
2014.01.08;09:00:00;1,35831;1,35938;1,35817;1,35891;-1,00000
2014.01.08;10:00:00;1,35891;1,35979;1,35674;1,35944;-1,00000
2014.01.08;11:00:00;1,35944;1,36084;1,35894;1,36012;-1,00000
2014.01.08;12:00:00;1,36012;1,36184;1,35991;1,36003;-1,00000
2014.01.08;13:00:00;1,36003;1,36045;1,35849;1,35861;-1,00000
2014.01.08;14:00:00;1,35861;1,35862;1,35582;1,35706;-1,00000
2014.01.08;15:00:00;1,35706;1,35739;1,35614;1,35711;-1,00000
2014.01.08;16:00:00;1,35711;1,35875;1,35536;1,35819;-1,00000
2014.01.08;17:00:00;1,35819;1,35871;1,35724;1,35819;-1,00000
2014.01.08;18:00:00;1,35819;1,35825;1,35735;1,35757;-1,00000
2014.01.08;19:15:00;1,35785;1,35795;1,35723;1,35752;-1,00000
2014.01.08;20:00:00;1,35752;1,35782;1,35709;1,35717;-1,00000
2014.01.08;21:00:00;1,35717;1,35774;1,35667;1,35753;-1,00000
2014.01.08;22:00:00;1,35753;1,35796;1,35709;1,35786;-1,00000
2014.01.08;23:00:00;1,35786;1,35790;1,35709;1,35772;-1,00000
2014.01.09;00:00:00;1,35772;1,35858;1,35769;1,35793;-1,00000
2014.01.09;01:00:00;1,35793;1,35797;1,35755;1,35794;-1,00000
2014.01.09;02:00:00;1,35794;1,35908;1,35774;1,35880;-1,00000
2014.01.09;03:00:00;1,35880;1,35950;1,35880;1,35941;-1,00000
2014.01.09;04:00:00;1,35941;1,36014;1,35914;1,36011;-1,00000
2014.01.09;05:00:00;1,36011;1,36121;1,35933;1,36094;-1,00000
2014.01.09;06:00:00;1,36094;1,36220;1,36052;1,36099;-1,00000
2014.01.09;07:00:00;1,36099;1,36174;1,36018;1,36105;-1,00000
2014.01.09;08:00:00;1,36105;1,36157;1,35997;1,36011;-1,00000
2014.01.09;09:00:00;1,36011;1,36166;1,35963;1,36100;-1,00000
2014.01.09;10:00:00;1,36100;1,36334;1,35483;1,35671;-1,00000
2014.01.09;11:00:00;1,35671;1,35830;1,35492;1,35700;-1,00000
2014.01.09;12:00:00;1,35700;1,35964;1,35683;1,35851;-1,00000
2014.01.09;13:00:00;1,35851;1,35943;1,35824;1,35905;-1,00000
2014.01.09;14:00:00;1,35905;1,35956;1,35808;1,35831;-1,00000
2014.01.09;15:00:00;1,35831;1,35885;1,35827;1,35866;-1,00000
2014.01.09;16:00:00;1,35866;1,35925;1,35847;1,35903;-1,00000
2014.01.09;17:00:00;1,35903;1,36109;1,35877;1,36045;-1,00000
2014.01.09;18:00:00;1,36045;1,36111;1,36026;1,36081;-1,00000
2014.01.09;19:15:00;1,36060;1,36075;1,34513;1,36020;-1,00000
2014.01.09;20:00:00;1,36020;1,36105;1,36019;1,36063;-1,00000
2014.01.09;21:00:00;1,36063;1,36105;1,36032;1,36068;-1,00000
2014.01.09;22:00:00;1,36068;1,36132;1,36054;1,36090;-1,00000
2014.01.09;23:00:00;1,36090;1,36109;1,36039;1,36104;-1,00000
2014.01.10;00:00:00;1,36104;1,36139;1,36084;1,36114;-1,00000
