DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2014.01.29;19:15:00;1,35850;1,36656;1,35850;1,36612;-1,00000
2014.01.29;20:00:00;1,36612;1,36645;1,36565;1,36576;-1,00000
2014.01.29;21:00:00;1,36576;1,36629;1,36551;1,36587;-1,00000
2014.01.29;22:00:00;1,36587;1,36611;1,36460;1,36480;-1,00000
2014.01.29;23:00:00;1,36480;1,36544;1,36471;1,36511;-1,00000
2014.01.30;00:00:00;1,36511;1,36560;1,36486;1,36488;-1,00000
2014.01.30;01:00:00;1,36488;1,36538;1,36466;1,36486;-1,00000
2014.01.30;02:00:00;1,36486;1,36510;1,36437;1,36452;-1,00000
2014.01.30;03:00:00;1,36452;1,36570;1,36447;1,36562;-1,00000
2014.01.30;04:00:00;1,36562;1,36570;1,36175;1,36247;-1,00000
2014.01.30;05:00:00;1,36247;1,36252;1,36059;1,36250;-1,00000
2014.01.30;06:00:00;1,36250;1,36250;1,35894;1,35924;-1,00000
2014.01.30;07:00:00;1,35924;1,36062;1,35858;1,36049;-1,00000
2014.01.30;08:00:00;1,36049;1,36169;1,35956;1,35976;-1,00000
2014.01.30;09:00:00;1,35976;1,36033;1,35836;1,35855;-1,00000
2014.01.30;10:00:00;1,35855;1,35893;1,35676;1,35840;-1,00000
2014.01.30;11:00:00;1,35840;1,35855;1,35670;1,35762;-1,00000
2014.01.30;12:00:00;1,35762;1,35886;1,35601;1,35635;-1,00000
2014.01.30;13:00:00;1,35635;1,35649;1,35435;1,35489;-1,00000
2014.01.30;14:00:00;1,35489;1,35569;1,35472;1,35521;-1,00000
2014.01.30;15:00:00;1,35521;1,35543;1,35490;1,35508;-1,00000
2014.01.30;16:00:00;1,35508;1,35554;1,35494;1,35505;-1,00000
2014.01.30;17:00:00;1,35505;1,35529;1,35458;1,35483;-1,00000
2014.01.30;18:00:00;1,35483;1,35570;1,35480;1,35543;-1,00000
2014.01.30;19:15:00;1,35557;1,35584;1,35510;1,35569;-1,00000
2014.01.30;20:00:00;1,35569;1,35586;1,35514;1,35576;-1,00000
2014.01.30;21:00:00;1,35576;1,35586;1,35513;1,35532;-1,00000
2014.01.30;22:00:00;1,35532;1,35575;1,35476;1,35557;-1,00000
2014.01.30;23:00:00;1,35557;1,35571;1,35494;1,35498;-1,00000
2014.01.31;00:00:00;1,35498;1,35549;1,35495;1,35517;-1,00000
2014.01.31;01:00:00;1,35517;1,35539;1,35454;1,35497;-1,00000
2014.01.31;02:00:00;1,35497;1,35551;1,35470;1,35470;-1,00000
2014.01.31;03:00:00;1,35470;1,35476;1,35385;1,35388;-1,00000
2014.01.31;04:00:00;1,35388;1,35490;1,35326;1,35468;-1,00000
2014.01.31;05:00:00;1,35468;1,35597;1,35412;1,35545;-1,00000
2014.01.31;06:00:00;1,35545;1,35551;1,35334;1,35404;-1,00000
2014.01.31;07:00:00;1,35404;1,35503;1,35174;1,35329;-1,00000
2014.01.31;08:00:00;1,35329;1,35739;1,35280;1,35487;-1,00000
2014.01.31;09:00:00;1,35487;1,35531;1,35196;1,35233;-1,00000
2014.01.31;10:00:00;1,35233;1,35249;1,34956;1,35137;-1,00000
2014.01.31;11:00:00;1,35137;1,35209;1,34832;1,34870;-1,00000
2014.01.31;12:00:00;1,34870;1,35072;1,34791;1,34845;-1,00000
2014.01.31;13:00:00;1,34845;1,35044;1,34842;1,35004;-1,00000
2014.01.31;14:00:00;1,35004;1,35057;1,34926;1,35051;-1,00000
2014.01.31;15:00:00;1,35051;1,35100;1,35014;1,35043;-1,00000
2014.01.31;16:00:00;1,35043;1,35053;1,34803;1,34811;-1,00000
2014.01.31;17:00:00;1,34811;1,34917;1,34809;1,34867;-1,00000
2014.01.31;18:00:00;1,34867;1,34916;1,34845;1,34870;-1,00000
2014.02.02;19:15:00;1,34853;1,34906;1,34824;1,34867;-1,00000
2014.02.02;20:00:00;1,34867;1,34913;1,34841;1,34874;-1,00000
2014.02.02;21:00:00;1,34874;1,34915;1,34801;1,34866;-1,00000
2014.02.02;22:00:00;1,34866;1,34876;1,34801;1,34852;-1,00000
2014.02.02;23:00:00;1,34852;1,34855;1,34798;1,34852;-1,00000
2014.02.03;00:00:00;1,34852;1,34955;1,34843;1,34882;-1,00000
2014.02.03;01:00:00;1,34882;1,34882;1,34831;1,34837;-1,00000
2014.02.03;02:00:00;1,34837;1,34879;1,34837;1,34853;-1,00000
2014.02.03;03:00:00;1,34853;1,34970;1,34828;1,34956;-1,00000
2014.02.03;04:00:00;1,34956;1,34987;1,34771;1,34807;-1,00000
2014.02.03;05:00:00;1,34807;1,35017;1,34785;1,34976;-1,00000
2014.02.03;06:00:00;1,34976;1,35091;1,34890;1,35090;-1,00000
2014.02.03;07:00:00;1,35090;1,35189;1,35047;1,35107;-1,00000
2014.02.03;08:00:00;1,35107;1,35147;1,35036;1,35067;-1,00000
2014.02.03;09:00:00;1,35067;1,35074;1,34905;1,34927;-1,00000
2014.02.03;10:00:00;1,34927;1,35026;1,34898;1,34950;-1,00000
2014.02.03;11:00:00;1,34950;1,34984;1,34852;1,34888;-1,00000
2014.02.03;12:00:00;1,34888;1,35232;1,34887;1,35176;-1,00000
2014.02.03;13:00:00;1,35176;1,35356;1,35125;1,35237;-1,00000
2014.02.03;14:00:00;1,35237;1,35321;1,35127;1,35171;-1,00000
2014.02.03;15:00:00;1,35171;1,35227;1,35145;1,35183;-1,00000
2014.02.03;16:00:00;1,35183;1,35347;1,35139;1,35308;-1,00000
2014.02.03;17:00:00;1,35308;1,35352;1,35223;1,35283;-1,00000
2014.02.03;18:00:00;1,35283;1,35333;1,35250;1,35254;-1,00000
2014.02.03;19:15:00;1,35293;1,35297;1,35245;1,35259;-1,00000
2014.02.03;20:00:00;1,35259;1,35271;1,35214;1,35226;-1,00000
2014.02.03;21:00:00;1,35226;1,35264;1,35188;1,35248;-1,00000
2014.02.03;22:00:00;1,35248;1,35249;1,35144;1,35164;-1,00000
2014.02.03;23:00:00;1,35164;1,35173;1,35093;1,35126;-1,00000
2014.02.04;00:00:00;1,35126;1,35139;1,35058;1,35074;-1,00000
2014.02.04;01:00:00;1,35074;1,35105;1,35040;1,35080;-1,00000
2014.02.04;02:00:00;1,35080;1,35194;1,35059;1,35188;-1,00000
2014.02.04;03:00:00;1,35188;1,35389;1,35143;1,35297;-1,00000
2014.02.04;04:00:00;1,35297;1,35349;1,35207;1,35240;-1,00000
2014.02.04;05:00:00;1,35240;1,35250;1,34933;1,35097;-1,00000
2014.02.04;06:00:00;1,35097;1,35159;1,35057;1,35129;-1,00000
2014.02.04;07:00:00;1,35129;1,35196;1,35087;1,35181;-1,00000
2014.02.04;08:00:00;1,35181;1,35210;1,35098;1,35132;-1,00000
2014.02.04;09:00:00;1,35132;1,35318;1,35087;1,35196;-1,00000
2014.02.04;10:00:00;1,35196;1,35293;1,35150;1,35165;-1,00000
2014.02.04;11:00:00;1,35165;1,35211;1,35065;1,35099;-1,00000
2014.02.04;12:00:00;1,35099;1,35162;1,34978;1,35097;-1,00000
2014.02.04;13:00:00;1,35097;1,35108;1,34951;1,35062;-1,00000
2014.02.04;14:00:00;1,35062;1,35220;1,35049;1,35214;-1,00000
2014.02.04;15:00:00;1,35214;1,35215;1,35163;1,35203;-1,00000
2014.02.04;16:00:00;1,35203;1,35212;1,35132;1,35163;-1,00000
2014.02.04;17:00:00;1,35163;1,35176;1,35126;1,35147;-1,00000
2014.02.04;18:00:00;1,35147;1,35185;1,35130;1,35183;-1,00000
2014.02.04;19:15:00;1,35142;1,35291;1,35118;1,35147;-1,00000
2014.02.04;20:00:00;1,35147;1,35173;1,35107;1,35160;-1,00000
2014.02.04;21:00:00;1,35160;1,35250;1,35150;1,35178;-1,00000
2014.02.04;22:00:00;1,35178;1,35274;1,35166;1,35238;-1,00000
2014.02.04;23:00:00;1,35238;1,35259;1,35157;1,35172;-1,00000
2014.02.05;00:00:00;1,35172;1,35226;1,35090;1,35112;-1,00000
2014.02.05;01:00:00;1,35112;1,35151;1,35089;1,35128;-1,00000
2014.02.05;02:00:00;1,35128;1,35153;1,35113;1,35119;-1,00000
2014.02.05;03:00:00;1,35119;1,35125;1,34989;1,35060;-1,00000
2014.02.05;04:00:00;1,35060;1,35162;1,35055;1,35095;-1,00000
2014.02.05;05:00:00;1,35095;1,35254;1,35095;1,35204;-1,00000
2014.02.05;06:00:00;1,35204;1,35287;1,35075;1,35188;-1,00000
2014.02.05;07:00:00;1,35188;1,35188;1,35043;1,35108;-1,00000
2014.02.05;08:00:00;1,35108;1,35228;1,35090;1,35189;-1,00000
2014.02.05;09:00:00;1,35189;1,35265;1,35109;1,35238;-1,00000
2014.02.05;10:00:00;1,35238;1,35557;1,35144;1,35144;-1,00000
2014.02.05;11:00:00;1,35144;1,35191;1,35095;1,35183;-1,00000
2014.02.05;12:00:00;1,35183;1,35459;1,35035;1,35315;-1,00000
2014.02.05;13:00:00;1,35315;1,35403;1,35151;1,35187;-1,00000
2014.02.05;14:00:00;1,35187;1,35335;1,35173;1,35335;-1,00000
2014.02.05;15:00:00;1,35335;1,35398;1,35316;1,35345;-1,00000
2014.02.05;16:00:00;1,35345;1,35366;1,35307;1,35347;-1,00000
2014.02.05;17:00:00;1,35347;1,35386;1,35307;1,35381;-1,00000
2014.02.05;18:00:00;1,35381;1,35381;1,35316;1,35331;-1,00000
2014.02.05;19:15:00;1,35332;1,35378;1,35309;1,35363;-1,00000
2014.02.05;20:00:00;1,35363;1,35367;1,35310;1,35339;-1,00000
2014.02.05;21:00:00;1,35339;1,35396;1,35309;1,35342;-1,00000
2014.02.05;22:00:00;1,35342;1,35349;1,35264;1,35325;-1,00000
2014.02.05;23:00:00;1,35325;1,35356;1,35299;1,35346;-1,00000
2014.02.06;00:00:00;1,35346;1,35347;1,35217;1,35217;-1,00000
2014.02.06;01:00:00;1,35217;1,35248;1,35214;1,35226;-1,00000
2014.02.06;02:00:00;1,35226;1,35239;1,35163;1,35165;-1,00000
2014.02.06;03:00:00;1,35165;1,35210;1,35150;1,35193;-1,00000
2014.02.06;04:00:00;1,35193;1,35256;1,35175;1,35249;-1,00000
2014.02.06;05:00:00;1,35249;1,35340;1,35170;1,35275;-1,00000
2014.02.06;06:00:00;1,35275;1,35279;1,35203;1,35263;-1,00000
2014.02.06;07:00:00;1,35263;1,35314;1,35223;1,35288;-1,00000
2014.02.06;08:00:00;1,35288;1,35293;1,35148;1,35175;-1,00000
2014.02.06;09:00:00;1,35175;1,35402;1,34894;1,35013;-1,00000
2014.02.06;10:00:00;1,35013;1,36021;1,34823;1,35944;-1,00000
2014.02.06;11:00:00;1,35944;1,36190;1,35896;1,36054;-1,00000
2014.02.06;12:00:00;1,36054;1,36154;1,35955;1,35997;-1,00000
2014.02.06;13:00:00;1,35997;1,36064;1,35966;1,36031;-1,00000
2014.02.06;14:00:00;1,36031;1,36072;1,35994;1,36006;-1,00000
2014.02.06;15:00:00;1,36006;1,36028;1,35905;1,35940;-1,00000
2014.02.06;16:00:00;1,35940;1,35943;1,35853;1,35877;-1,00000
2014.02.06;17:00:00;1,35877;1,35926;1,35850;1,35923;-1,00000
2014.02.06;18:00:00;1,35923;1,35933;1,35891;1,35900;-1,00000
2014.02.06;19:15:00;1,35915;1,35930;1,35889;1,35903;-1,00000
2014.02.06;20:00:00;1,35903;1,35922;1,35885;1,35918;-1,00000
2014.02.06;21:00:00;1,35918;1,35924;1,35864;1,35895;-1,00000
2014.02.06;22:00:00;1,35895;1,35944;1,35877;1,35926;-1,00000
2014.02.06;23:00:00;1,35926;1,35941;1,35886;1,35918;-1,00000
2014.02.07;00:00:00;1,35918;1,35946;1,35892;1,35911;-1,00000
2014.02.07;01:00:00;1,35911;1,35929;1,35896;1,35907;-1,00000
2014.02.07;02:00:00;1,35907;1,35928;1,35853;1,35856;-1,00000
2014.02.07;03:00:00;1,35856;1,35906;1,35854;1,35856;-1,00000
2014.02.07;04:00:00;1,35856;1,35887;1,35818;1,35871;-1,00000
2014.02.07;05:00:00;1,35871;1,35886;1,35520;1,35639;-1,00000
2014.02.07;06:00:00;1,35639;1,35793;1,35597;1,35680;-1,00000
2014.02.07;07:00:00;1,35680;1,35710;1,35623;1,35637;-1,00000
2014.02.07;08:00:00;1,35637;1,35759;1,35618;1,35687;-1,00000
2014.02.07;09:00:00;1,35687;1,35714;1,35648;1,35684;-1,00000
2014.02.07;10:00:00;1,35684;1,36448;1,35683;1,35925;-1,00000
2014.02.07;11:00:00;1,35925;1,36038;1,35760;1,35881;-1,00000
2014.02.07;12:00:00;1,35881;1,36186;1,35853;1,36181;-1,00000
2014.02.07;13:00:00;1,36181;1,36190;1,36087;1,36133;-1,00000
2014.02.07;14:00:00;1,36133;1,36214;1,36089;1,36214;-1,00000
2014.02.07;15:00:00;1,36214;1,36236;1,36144;1,36198;-1,00000
2014.02.07;16:00:00;1,36198;1,36324;1,36187;1,36284;-1,00000
