DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2014.05.28;17:15:00;1,35925;1,35939;1,35920;1,35927;-1,00000
2014.05.28;18:00:00;1,35927;1,35962;1,35926;1,35947;-1,00000
2014.05.28;19:00:00;1,35947;1,35966;1,35920;1,35920;-1,00000
2014.05.28;20:00:00;1,35920;1,36013;1,35920;1,35984;-1,00000
2014.05.28;21:00:00;1,35984;1,36010;1,35953;1,35978;-1,00000
2014.05.28;22:00:00;1,35978;1,36070;1,35970;1,36064;-1,00000
2014.05.28;23:00:00;1,36064;1,36095;1,36039;1,36058;-1,00000
2014.05.29;00:00:00;1,36058;1,36068;1,36035;1,36046;-1,00000
2014.05.29;01:00:00;1,36046;1,36098;1,35999;1,36007;-1,00000
2014.05.29;02:00:00;1,36007;1,36057;1,35935;1,35948;-1,00000
2014.05.29;03:00:00;1,35948;1,35975;1,35863;1,35928;-1,00000
2014.05.29;04:00:00;1,35928;1,36187;1,35910;1,36182;-1,00000
2014.05.29;05:00:00;1,36182;1,36203;1,36128;1,36177;-1,00000
2014.05.29;06:00:00;1,36177;1,36241;1,36153;1,36170;-1,00000
2014.05.29;07:00:00;1,36170;1,36200;1,36116;1,36139;-1,00000
2014.05.29;08:00:00;1,36139;1,36258;1,36014;1,36028;-1,00000
2014.05.29;09:00:00;1,36028;1,36087;1,35951;1,36002;-1,00000
2014.05.29;10:00:00;1,36002;1,36179;1,35977;1,36142;-1,00000
2014.05.29;11:00:00;1,36142;1,36249;1,36055;1,36078;-1,00000
2014.05.29;12:00:00;1,36078;1,36098;1,36037;1,36090;-1,00000
2014.05.29;13:00:00;1,36090;1,36090;1,36006;1,36007;-1,00000
2014.05.29;14:00:00;1,36007;1,36063;1,36004;1,36024;-1,00000
2014.05.29;15:00:00;1,36024;1,36038;1,36007;1,36026;-1,00000
2014.05.29;16:00:00;1,36026;1,36058;1,36015;1,36019;-1,00000
2014.05.29;17:15:00;1,36033;1,36035;1,36010;1,36024;-1,00000
2014.05.29;18:00:00;1,36024;1,36026;1,35998;1,36011;-1,00000
2014.05.29;19:00:00;1,36011;1,36047;1,36011;1,36028;-1,00000
2014.05.29;20:00:00;1,36028;1,36049;1,35986;1,36036;-1,00000
2014.05.29;21:00:00;1,36036;1,36124;1,36033;1,36057;-1,00000
2014.05.29;22:00:00;1,36057;1,36073;1,36025;1,36056;-1,00000
2014.05.29;23:00:00;1,36056;1,36065;1,36019;1,36040;-1,00000
2014.05.30;00:00:00;1,36040;1,36070;1,36007;1,36058;-1,00000
2014.05.30;01:00:00;1,36058;1,36078;1,36024;1,36026;-1,00000
2014.05.30;02:00:00;1,36026;1,36117;1,35986;1,36109;-1,00000
2014.05.30;03:00:00;1,36109;1,36167;1,36036;1,36126;-1,00000
2014.05.30;04:00:00;1,36126;1,36153;1,36030;1,36110;-1,00000
2014.05.30;05:00:00;1,36110;1,36178;1,36087;1,36144;-1,00000
2014.05.30;06:00:00;1,36144;1,36153;1,36086;1,36111;-1,00000
2014.05.30;07:00:00;1,36111;1,36130;1,36067;1,36127;-1,00000
2014.05.30;08:00:00;1,36127;1,36201;1,36057;1,36173;-1,00000
