DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2014.02.26;19:15:00;1,36858;1,36865;1,36820;1,36834;-1,00000
2014.02.26;20:00:00;1,36834;1,36855;1,36800;1,36811;-1,00000
2014.02.26;21:00:00;1,36811;1,36877;1,36759;1,36874;-1,00000
2014.02.26;22:00:00;1,36874;1,36957;1,36854;1,36929;-1,00000
2014.02.26;23:00:00;1,36929;1,36947;1,36866;1,36887;-1,00000
2014.02.27;00:00:00;1,36887;1,36896;1,36862;1,36878;-1,00000
2014.02.27;01:00:00;1,36878;1,36882;1,36836;1,36867;-1,00000
2014.02.27;02:00:00;1,36867;1,36895;1,36856;1,36874;-1,00000
2014.02.27;03:00:00;1,36874;1,36926;1,36842;1,36867;-1,00000
2014.02.27;04:00:00;1,36867;1,36903;1,36688;1,36742;-1,00000
2014.02.27;05:00:00;1,36742;1,36743;1,36514;1,36615;-1,00000
2014.02.27;06:00:00;1,36615;1,36615;1,36432;1,36514;-1,00000
2014.02.27;07:00:00;1,36514;1,36585;1,36434;1,36552;-1,00000
2014.02.27;08:00:00;1,36552;1,36641;1,36504;1,36626;-1,00000
2014.02.27;09:00:00;1,36626;1,36644;1,36537;1,36561;-1,00000
2014.02.27;10:00:00;1,36561;1,36784;1,36512;1,36695;-1,00000
2014.02.27;11:00:00;1,36695;1,36857;1,36695;1,36846;-1,00000
2014.02.27;12:00:00;1,36846;1,36874;1,36733;1,36812;-1,00000
2014.02.27;13:00:00;1,36812;1,37245;1,36797;1,37238;-1,00000
2014.02.27;14:00:00;1,37238;1,37268;1,37109;1,37110;-1,00000
2014.02.27;15:00:00;1,37110;1,37125;1,37060;1,37079;-1,00000
2014.02.27;16:00:00;1,37079;1,37162;1,37069;1,37107;-1,00000
2014.02.27;17:00:00;1,37107;1,37107;1,37046;1,37093;-1,00000
2014.02.27;18:00:00;1,37093;1,37143;1,37073;1,37102;-1,00000
2014.02.27;19:15:00;1,37081;1,37116;1,37078;1,37085;-1,00000
2014.02.27;20:00:00;1,37085;1,37104;1,37056;1,37067;-1,00000
2014.02.27;21:00:00;1,37067;1,37105;1,37042;1,37090;-1,00000
2014.02.27;22:00:00;1,37090;1,37146;1,37072;1,37115;-1,00000
2014.02.27;23:00:00;1,37115;1,37129;1,37044;1,37081;-1,00000
2014.02.28;00:00:00;1,37081;1,37086;1,37009;1,37013;-1,00000
2014.02.28;01:00:00;1,37013;1,37045;1,36974;1,37004;-1,00000
2014.02.28;02:00:00;1,37004;1,37017;1,36943;1,36987;-1,00000
2014.02.28;03:00:00;1,36987;1,37047;1,36947;1,37042;-1,00000
2014.02.28;04:00:00;1,37042;1,37248;1,37024;1,37158;-1,00000
2014.02.28;05:00:00;1,37158;1,37223;1,37047;1,37145;-1,00000
2014.02.28;06:00:00;1,37145;1,37318;1,37073;1,37271;-1,00000
2014.02.28;07:00:00;1,37271;1,38131;1,37271;1,37924;-1,00000
2014.02.28;08:00:00;1,37924;1,38032;1,37880;1,37932;-1,00000
2014.02.28;09:00:00;1,37932;1,38075;1,37928;1,38013;-1,00000
2014.02.28;10:00:00;1,38013;1,38181;1,38006;1,38102;-1,00000
2014.02.28;11:00:00;1,38102;1,38242;1,37927;1,37945;-1,00000
2014.02.28;12:00:00;1,37945;1,38135;1,37925;1,38108;-1,00000
2014.02.28;13:00:00;1,38108;1,38124;1,38002;1,38058;-1,00000
2014.02.28;14:00:00;1,38058;1,38179;1,38055;1,38077;-1,00000
2014.02.28;15:00:00;1,38077;1,38121;1,38057;1,38094;-1,00000
2014.02.28;16:00:00;1,38094;1,38241;1,38066;1,38232;-1,00000
2014.02.28;17:00:00;1,38232;1,38249;1,38027;1,38033;-1,00000
2014.02.28;18:00:00;1,38033;1,38089;1,37970;1,38021;-1,00000
2014.03.02;19:15:00;1,37770;1,37866;1,37712;1,37747;-1,00000
2014.03.02;20:00:00;1,37747;1,37884;1,37727;1,37743;-1,00000
2014.03.02;21:00:00;1,37743;1,37883;1,37738;1,37766;-1,00000
2014.03.02;22:00:00;1,37766;1,37780;1,37712;1,37776;-1,00000
2014.03.02;23:00:00;1,37776;1,37814;1,37770;1,37798;-1,00000
2014.03.03;00:00:00;1,37798;1,37805;1,37743;1,37776;-1,00000
2014.03.03;01:00:00;1,37776;1,37796;1,37762;1,37795;-1,00000
2014.03.03;02:00:00;1,37795;1,37863;1,37783;1,37817;-1,00000
2014.03.03;03:00:00;1,37817;1,37927;1,37806;1,37904;-1,00000
2014.03.03;04:00:00;1,37904;1,37910;1,37685;1,37690;-1,00000
2014.03.03;05:00:00;1,37690;1,37814;1,37669;1,37797;-1,00000
2014.03.03;06:00:00;1,37797;1,37856;1,37704;1,37784;-1,00000
2014.03.03;07:00:00;1,37784;1,37846;1,37752;1,37817;-1,00000
2014.03.03;08:00:00;1,37817;1,37829;1,37616;1,37619;-1,00000
2014.03.03;09:00:00;1,37619;1,37717;1,37584;1,37708;-1,00000
2014.03.03;10:00:00;1,37708;1,37803;1,37672;1,37744;-1,00000
2014.03.03;11:00:00;1,37744;1,37805;1,37653;1,37713;-1,00000
2014.03.03;12:00:00;1,37713;1,37743;1,37470;1,37735;-1,00000
2014.03.03;13:00:00;1,37735;1,37784;1,37623;1,37627;-1,00000
2014.03.03;14:00:00;1,37627;1,37653;1,37357;1,37360;-1,00000
2014.03.03;15:00:00;1,37360;1,37445;1,37313;1,37387;-1,00000
2014.03.03;16:00:00;1,37387;1,37392;1,37321;1,37331;-1,00000
2014.03.03;17:00:00;1,37331;1,37364;1,37262;1,37299;-1,00000
2014.03.03;18:00:00;1,37299;1,37357;1,37296;1,37348;-1,00000
2014.03.03;19:15:00;1,37343;1,37385;1,37335;1,37366;-1,00000
2014.03.03;20:00:00;1,37366;1,37375;1,37339;1,37355;-1,00000
2014.03.03;21:00:00;1,37355;1,37388;1,37325;1,37340;-1,00000
2014.03.03;22:00:00;1,37340;1,37344;1,37207;1,37227;-1,00000
2014.03.03;23:00:00;1,37227;1,37304;1,37224;1,37303;-1,00000
2014.03.04;00:00:00;1,37303;1,37314;1,37255;1,37275;-1,00000
2014.03.04;01:00:00;1,37275;1,37348;1,37274;1,37329;-1,00000
2014.03.04;02:00:00;1,37329;1,37355;1,37307;1,37317;-1,00000
2014.03.04;03:00:00;1,37317;1,37676;1,37294;1,37528;-1,00000
2014.03.04;04:00:00;1,37528;1,37626;1,37517;1,37531;-1,00000
2014.03.04;05:00:00;1,37531;1,37736;1,37509;1,37564;-1,00000
2014.03.04;06:00:00;1,37564;1,37576;1,37441;1,37521;-1,00000
2014.03.04;07:00:00;1,37521;1,37661;1,37496;1,37628;-1,00000
2014.03.04;08:00:00;1,37628;1,37730;1,37594;1,37617;-1,00000
2014.03.04;09:00:00;1,37617;1,37638;1,37573;1,37593;-1,00000
2014.03.04;10:00:00;1,37593;1,37818;1,37593;1,37649;-1,00000
2014.03.04;11:00:00;1,37649;1,37652;1,37487;1,37570;-1,00000
