DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2014.08.27;17:15:00;1,31935;1,31962;1,31930;1,31942;-1,00000
2014.08.27;18:00:00;1,31942;1,31942;1,31925;1,31927;-1,00000
2014.08.27;19:00:00;1,31927;1,31934;1,31897;1,31921;-1,00000
2014.08.27;20:00:00;1,31921;1,31991;1,31886;1,31974;-1,00000
2014.08.27;21:00:00;1,31974;1,32162;1,31965;1,32153;-1,00000
2014.08.27;22:00:00;1,32153;1,32170;1,32096;1,32114;-1,00000
2014.08.27;23:00:00;1,32114;1,32171;1,32114;1,32146;-1,00000
2014.08.28;00:00:00;1,32146;1,32164;1,32123;1,32128;-1,00000
2014.08.28;01:00:00;1,32128;1,32177;1,32049;1,32057;-1,00000
2014.08.28;02:00:00;1,32057;1,32121;1,32033;1,32068;-1,00000
2014.08.28;03:00:00;1,32068;1,32209;1,31986;1,32014;-1,00000
2014.08.28;04:00:00;1,32014;1,32185;1,31987;1,32076;-1,00000
2014.08.28;05:00:00;1,32076;1,32153;1,31864;1,31864;-1,00000
2014.08.28;06:00:00;1,31864;1,31913;1,31713;1,31759;-1,00000
2014.08.28;07:00:00;1,31759;1,31893;1,31737;1,31843;-1,00000
2014.08.28;08:00:00;1,31843;1,31865;1,31694;1,31790;-1,00000
2014.08.28;09:00:00;1,31790;1,31804;1,31596;1,31710;-1,00000
2014.08.28;10:00:00;1,31710;1,31769;1,31624;1,31754;-1,00000
2014.08.28;11:00:00;1,31754;1,31843;1,31708;1,31776;-1,00000
2014.08.28;12:00:00;1,31776;1,31786;1,31671;1,31746;-1,00000
2014.08.28;13:00:00;1,31746;1,31812;1,31736;1,31789;-1,00000
2014.08.28;14:00:00;1,31789;1,31855;1,31788;1,31850;-1,00000
2014.08.28;15:00:00;1,31850;1,31857;1,31821;1,31842;-1,00000
2014.08.28;16:00:00;1,31842;1,31842;1,31813;1,31822;-1,00000
2014.08.28;17:15:00;1,31839;1,31854;1,31828;1,31841;-1,00000
2014.08.28;18:00:00;1,31841;1,31841;1,31806;1,31812;-1,00000
2014.08.28;19:00:00;1,31812;1,31857;1,31812;1,31842;-1,00000
2014.08.28;20:00:00;1,31842;1,31864;1,31811;1,31813;-1,00000
2014.08.28;21:00:00;1,31813;1,31842;1,31796;1,31834;-1,00000
2014.08.28;22:00:00;1,31834;1,31837;1,31808;1,31810;-1,00000
2014.08.28;23:00:00;1,31810;1,31834;1,31800;1,31800;-1,00000
2014.08.29;00:00:00;1,31800;1,31813;1,31741;1,31750;-1,00000
2014.08.29;01:00:00;1,31750;1,31795;1,31740;1,31757;-1,00000
2014.08.29;02:00:00;1,31757;1,31757;1,31603;1,31630;-1,00000
2014.08.29;03:00:00;1,31630;1,31763;1,31618;1,31698;-1,00000
2014.08.29;04:00:00;1,31698;1,31837;1,31676;1,31777;-1,00000
2014.08.29;05:00:00;1,31777;1,31950;1,31755;1,31770;-1,00000
2014.08.29;06:00:00;1,31770;1,31957;1,31770;1,31885;-1,00000
2014.08.29;07:00:00;1,31885;1,31963;1,31824;1,31907;-1,00000
2014.08.29;08:00:00;1,31907;1,31937;1,31801;1,31846;-1,00000
2014.08.29;09:00:00;1,31846;1,31864;1,31716;1,31757;-1,00000
2014.08.29;10:00:00;1,31757;1,31901;1,31696;1,31717;-1,00000
2014.08.29;11:00:00;1,31717;1,31745;1,31422;1,31492;-1,00000
2014.08.29;12:00:00;1,31492;1,31541;1,31398;1,31449;-1,00000
2014.08.29;13:00:00;1,31449;1,31471;1,31366;1,31430;-1,00000
2014.08.29;14:00:00;1,31430;1,31436;1,31339;1,31353;-1,00000
2014.08.29;15:00:00;1,31353;1,31404;1,31347;1,31394;-1,00000
2014.08.29;16:00:00;1,31394;1,31433;1,31317;1,31320;-1,00000
2014.08.31;17:15:00;1,31313;1,31315;1,31273;1,31287;-1,00000
2014.08.31;18:00:00;1,31287;1,31349;1,31287;1,31346;-1,00000
2014.08.31;19:00:00;1,31346;1,31346;1,31247;1,31270;-1,00000
2014.08.31;20:00:00;1,31270;1,31324;1,31248;1,31277;-1,00000
2014.08.31;21:00:00;1,31277;1,31303;1,31239;1,31254;-1,00000
2014.08.31;22:00:00;1,31254;1,31254;1,31192;1,31241;-1,00000
2014.08.31;23:00:00;1,31241;1,31241;1,31197;1,31197;-1,00000
2014.09.01;00:00:00;1,31197;1,31272;1,31197;1,31269;-1,00000
2014.09.01;01:00:00;1,31269;1,31297;1,31229;1,31272;-1,00000
2014.09.01;02:00:00;1,31272;1,31345;1,31237;1,31319;-1,00000
2014.09.01;03:00:00;1,31319;1,31355;1,31279;1,31325;-1,00000
2014.09.01;04:00:00;1,31325;1,31447;1,31295;1,31417;-1,00000
2014.09.01;05:00:00;1,31417;1,31456;1,31364;1,31387;-1,00000
2014.09.01;06:00:00;1,31387;1,31399;1,31317;1,31369;-1,00000
2014.09.01;07:00:00;1,31369;1,31385;1,31338;1,31359;-1,00000
2014.09.01;08:00:00;1,31359;1,31412;1,31325;1,31407;-1,00000
