DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOLUME
2019.10.30;18:15:00;1,11508;1,11538;1,11493;1,11525;-1,00000
2019.10.30;19:00:00;1,11525;1,11551;1,11524;1,11531;-1,00000
2019.10.30;20:00:00;1,11531;1,11554;1,11521;1,11523;-1,00000
2019.10.30;21:00:00;1,11523;1,11626;1,11523;1,11623;-1,00000
2019.10.30;22:00:00;1,11623;1,11699;1,11596;1,11665;-1,00000
2019.10.30;23:00:00;1,11665;1,11683;1,11631;1,11667;-1,00000
2019.10.31;00:00:00;1,11667;1,11691;1,11658;1,11688;-1,00000
2019.10.31;01:00:00;1,11688;1,11706;1,11649;1,11652;-1,00000
2019.10.31;02:00:00;1,11652;1,11657;1,11607;1,11614;-1,00000
2019.10.31;03:00:00;1,11614;1,11649;1,11578;1,11642;-1,00000
2019.10.31;04:00:00;1,11642;1,11676;1,11574;1,11635;-1,00000
2019.10.31;05:00:00;1,11635;1,11758;1,11582;1,11749;-1,00000
2019.10.31;06:00:00;1,11749;1,11750;1,11597;1,11637;-1,00000
2019.10.31;07:00:00;1,11637;1,11750;1,11518;1,11549;-1,00000
2019.10.31;08:00:00;1,11549;1,11646;1,11444;1,11515;-1,00000
2019.10.31;09:00:00;1,11515;1,11643;1,11494;1,11528;-1,00000
2019.10.31;10:00:00;1,11528;1,11566;1,11418;1,11485;-1,00000
2019.10.31;11:00:00;1,11485;1,11521;1,11316;1,11427;-1,00000
2019.10.31;12:00:00;1,11427;1,11592;1,11339;1,11559;-1,00000
2019.10.31;13:00:00;1,11559;1,11585;1,11464;1,11505;-1,00000
2019.10.31;14:00:00;1,11505;1,11543;1,11440;1,11460;-1,00000
2019.10.31;15:00:00;1,11460;1,11478;1,11405;1,11454;-1,00000
2019.10.31;16:00:00;1,11454;1,11534;1,11430;1,11532;-1,00000
2019.10.31;17:00:00;1,11532;1,11543;1,11490;1,11521;-1,00000
2019.10.31;18:15:00;1,11515;1,11525;1,11511;1,11520;-1,00000
2019.10.31;19:00:00;1,11520;1,11537;1,11508;1,11518;-1,00000
2019.10.31;20:00:00;1,11518;1,11568;1,11514;1,11562;-1,00000
2019.10.31;21:00:00;1,11562;1,11562;1,11488;1,11551;-1,00000
2019.10.31;22:00:00;1,11551;1,11667;1,11548;1,11655;-1,00000
2019.10.31;23:00:00;1,11655;1,11659;1,11611;1,11652;-1,00000
2019.11.01;00:00:00;1,11652;1,11666;1,11635;1,11643;-1,00000
2019.11.01;01:00:00;1,11643;1,11645;1,11625;1,11644;-1,00000
2019.11.01;02:00:00;1,11644;1,11652;1,11628;1,11642;-1,00000
2019.11.01;03:00:00;1,11642;1,11647;1,11605;1,11618;-1,00000
2019.11.01;04:00:00;1,11618;1,11670;1,11556;1,11638;-1,00000
2019.11.01;05:00:00;1,11638;1,11689;1,11552;1,11607;-1,00000
2019.11.01;06:00:00;1,11607;1,11608;1,11478;1,11495;-1,00000
2019.11.01;07:00:00;1,11495;1,11501;1,11397;1,11483;-1,00000
2019.11.01;08:00:00;1,11483;1,11580;1,11464;1,11555;-1,00000
2019.11.01;09:00:00;1,11555;1,11574;1,11283;1,11313;-1,00000
2019.11.01;10:00:00;1,11313;1,11538;1,11313;1,11474;-1,00000
2019.11.01;11:00:00;1,11474;1,11689;1,11474;1,11655;-1,00000
2019.11.01;12:00:00;1,11655;1,11720;1,11622;1,11689;-1,00000
2019.11.01;13:00:00;1,11689;1,11710;1,11622;1,11682;-1,00000
2019.11.01;14:00:00;1,11682;1,11692;1,11612;1,11618;-1,00000
2019.11.01;15:00:00;1,11618;1,11665;1,11588;1,11636;-1,00000
2019.11.01;16:00:00;1,11636;1,11699;1,11632;1,11694;-1,00000
2019.11.01;17:00:00;1,11694;1,11695;1,11607;1,11671;-1,00000
2019.11.03;19:15:00;1,11660;1,11667;1,11645;1,11651;-1,00000
2019.11.03;20:00:00;1,11651;1,11676;1,11642;1,11662;-1,00000
2019.11.03;21:00:00;1,11662;1,11668;1,11597;1,11603;-1,00000
2019.11.03;22:00:00;1,11603;1,11684;1,11603;1,11673;-1,00000
2019.11.03;23:00:00;1,11673;1,11723;1,11660;1,11714;-1,00000
2019.11.04;00:00:00;1,11714;1,11739;1,11694;1,11694;-1,00000
2019.11.04;01:00:00;1,11694;1,11712;1,11693;1,11696;-1,00000
2019.11.04;02:00:00;1,11696;1,11696;1,11653;1,11679;-1,00000
2019.11.04;03:00:00;1,11679;1,11710;1,11664;1,11683;-1,00000
2019.11.04;04:00:00;1,11683;1,11755;1,11658;1,11734;-1,00000
2019.11.04;05:00:00;1,11734;1,11734;1,11494;1,11623;-1,00000
2019.11.04;06:00:00;1,11623;1,11689;1,11577;1,11651;-1,00000
2019.11.04;07:00:00;1,11651;1,11662;1,11548;1,11633;-1,00000
2019.11.04;08:00:00;1,11633;1,11655;1,11598;1,11649;-1,00000
2019.11.04;09:00:00;1,11649;1,11704;1,11557;1,11599;-1,00000
2019.11.04;10:00:00;1,11599;1,11599;1,11523;1,11561;-1,00000
2019.11.04;11:00:00;1,11561;1,11566;1,11481;1,11483;-1,00000
2019.11.04;12:00:00;1,11483;1,11571;1,11470;1,11548;-1,00000
2019.11.04;13:00:00;1,11548;1,11568;1,11401;1,11443;-1,00000
2019.11.04;14:00:00;1,11443;1,11460;1,11407;1,11413;-1,00000
2019.11.04;15:00:00;1,11413;1,11429;1,11311;1,11348;-1,00000
2019.11.04;16:00:00;1,11348;1,11354;1,11254;1,11276;-1,00000
2019.11.04;17:00:00;1,11276;1,11293;1,11249;1,11282;-1,00000
2019.11.04;18:00:00;1,11282;1,11307;1,11269;1,11281;-1,00000
2019.11.04;19:15:00;1,11283;1,11289;1,11218;1,11222;-1,00000
